	gpt4o	gemini	claude	gold
330	['JOY', 'LOVE']	['JOY', 'LOVE']	{'JOY', 'LOVE'}	['JOY']
331	['JOY', 'LOVE']	['JOY']	{'JOY'}	['AGITATION', 'SADNESS']
332	['ANGER']	['ANGER']	{'ANGER'}	['NONE']
333	['JOY', 'LOVE']	['JOY']	{'JOY'}	['AGITATION', 'JOY']
334	['ANGER']	['ANGER']	{'ANGER', 'SADNESS'}	['SADNESS']
335	['JOY', 'LOVE', 'SADNESS']	['SADNESS', 'JOY']	{'JOY', 'SADNESS'}	['AGITATION', 'JOY', 'SADNESS']
336	['LOVE', 'SADNESS']	['LOVE']	{'LOVE', 'SADNESS'}	['LOVE']
337	['LOVE', 'JOY']	['LOVE', 'JOY']	{'JOY', 'LOVE'}	['JOY']
338	['ANGER', 'JOY']	['ANGER', 'JOY']	{'JOY', 'ANGER'}	['NONE']
339	['LOVE']	['LOVE']	{'LOVE'}	['NONE']
340	['NONE']	['NONE']	{'JOY', 'LOVE'}	['ANGER', 'LOVE']
341	['FEAR']	['FEAR', 'SADNESS']	{'FEAR', 'SADNESS'}	['NONE']
342	['SADNESS']	['SADNESS']	{'SADNESS'}	['NONE']
343	['NONE']	['NONE']	{'NONE'}	['NONE']
344	['LOVE', 'SADNESS']	['LOVE', 'SADNESS']	{'LOVE', 'SADNESS'}	['JOY', 'LOVE']
345	['NONE']	['SADNESS']	{'NONE'}	['NONE']
346	['LOVE']	['LOVE']	{'LOVE', 'SADNESS'}	['LOVE']
347	['SADNESS']	['SADNESS']	{'SADNESS'}	['JOY']
348	['SADNESS', 'FEAR']	['SADNESS', 'FEAR']	{'FEAR', 'SADNESS'}	['JOY']
349	['SADNESS']	['SADNESS']	{'SADNESS'}	['NONE']
